tweet,sentiment
I saw a post about Asha Bhosle this morning.,neutral
Asha Bhosle was mentioned in today's music discussion.,neutral
The recording quality made Asha Bhosle's voice hard to enjoy.,negative
I did not enjoy Asha Bhosle's performance in In Aankhon Ki Masti.,negative
Asha Bhosle's voice is timeless and magical in Chura Liya Hai Tumne.,positive
Asha Bhosle always brings joy with her songs and expression.,positive
Asha Bhosle performed with the orchestra last night.,neutral
Asha Bhosle appeared in the tribute concert.,neutral
I was disappointed by the way this Asha Bhosle number turned out.,negative
"Loved listening to Asha Bhosle today, her energy is still amazing.",positive
"Loved listening to Asha Bhosle today, her energy is still amazing.",positive
I did not enjoy Asha Bhosle's performance in Kajra Mohabbat Wala.,negative
Asha Bhosle has a long career in Indian music.,neutral
Her singing in Piya Tu Ab To Aaja is still one of the best ever.,positive
The song sounded dated and less impressive this time.,negative
"What a beautiful performance by Asha Bhosle, pure legend.",positive
Asha Bhosle's recent live set was underwhelming to me.,negative
"Loved listening to Asha Bhosle today, her energy is still amazing.",positive
I saw a post about Asha Bhosle this morning.,neutral
"Such a graceful and powerful singer, Asha Bhosle is iconic.",positive
Asha Bhosle's voice is timeless and magical in Piya Tu Ab To Aaja.,positive
Her album Hits Forever is available on streaming platforms.,neutral
Asha Bhosle was mentioned in today's music discussion.,neutral
Her album Classic Asha is available on streaming platforms.,neutral
Asha Bhosle appeared in the tribute concert.,neutral
Asha Bhosle sang In Aankhon Ki Masti at the event.,neutral
Asha Bhosle always brings joy with her songs and expression.,positive
Asha Bhosle's recent live set was underwhelming to me.,negative
"Such a graceful and powerful singer, Asha Bhosle is iconic.",positive
"Loved listening to Asha Bhosle today, her energy is still amazing.",positive
Asha Bhosle's recent live set was underwhelming to me.,negative
I found Asha Bhosle's performance a bit boring today.,negative
The program featured Asha Bhosle songs and interviews.,neutral
Listening to Asha Bhosle while studying.,neutral
"Loved listening to Asha Bhosle today, her energy is still amazing.",positive
"Loved listening to Asha Bhosle today, her energy is still amazing.",positive
Asha Bhosle sang Piya Tu Ab To Aaja at the event.,neutral
Asha Bhosle's song choice felt weak and disappointing.,negative
Asha Bhosle always brings joy with her songs and expression.,positive
"I really enjoyed Asha Bhosle's song today, it sounded fantastic.",positive
Asha Bhosle performed with the orchestra last night.,neutral
I found Asha Bhosle's performance a bit boring today.,negative
The melody and emotion in Asha Bhosle's voice are outstanding.,positive
Asha Bhosle appeared in the tribute concert.,neutral
I found Asha Bhosle's performance a bit boring today.,negative
Listening to Asha Bhosle while studying.,neutral
Asha Bhosle was mentioned in today's music discussion.,neutral
"What a beautiful performance by Asha Bhosle, pure legend.",positive
Asha Bhosle has a long career in Indian music.,neutral
Listening to Asha Bhosle while studying.,neutral
The song sounded dated and less impressive this time.,negative
Her singing in Piya Tu Ab To Aaja is still one of the best ever.,positive
"Loved listening to Asha Bhosle today, her energy is still amazing.",positive
"Not my favorite track from Asha Bhosle, it felt flat.",negative
I saw a post about Asha Bhosle this morning.,neutral
"Not my favorite track from Asha Bhosle, it felt flat.",negative
"Such a graceful and powerful singer, Asha Bhosle is iconic.",positive
Asha Bhosle performed with the orchestra last night.,neutral
Asha Bhosle always brings joy with her songs and expression.,positive
I found Asha Bhosle's performance a bit boring today.,negative
"Not my favorite track from Asha Bhosle, it felt flat.",negative
Asha Bhosle's song choice felt weak and disappointing.,negative
Her album Golden Melodies is available on streaming platforms.,neutral
Asha Bhosle's voice is timeless and magical in In Aankhon Ki Masti.,positive
I saw a post about Asha Bhosle this morning.,neutral
Asha Bhosle's song choice felt weak and disappointing.,negative
The song sounded dated and less impressive this time.,negative
Listening to Asha Bhosle while studying.,neutral
"Asha Bhosle's classics never get old, absolutely wonderful.",positive
This tweet is about Asha Bhosle and her old songs.,neutral
Asha Bhosle appeared in the tribute concert.,neutral
Asha Bhosle always brings joy with her songs and expression.,positive
Asha Bhosle's voice is timeless and magical in Dum Maro Dum.,positive
This tweet is about Asha Bhosle and her old songs.,neutral
I found Asha Bhosle's performance a bit boring today.,negative
I was disappointed by the way this Asha Bhosle number turned out.,negative
Listening to Asha Bhosle while studying.,neutral
Asha Bhosle inspires me every time I hear her music.,positive
I found Asha Bhosle's performance a bit boring today.,negative
The recording quality made Asha Bhosle's voice hard to enjoy.,negative
Asha Bhosle inspires me every time I hear her music.,positive
I was disappointed by the way this Asha Bhosle number turned out.,negative
I found Asha Bhosle's performance a bit boring today.,negative
The recording quality made Asha Bhosle's voice hard to enjoy.,negative
Asha Bhosle always brings joy with her songs and expression.,positive
Asha Bhosle inspires me every time I hear her music.,positive
The recording quality made Asha Bhosle's voice hard to enjoy.,negative
Asha Bhosle appeared in the tribute concert.,neutral
Asha Bhosle sang Piya Tu Ab To Aaja at the event.,neutral
Asha Bhosle's song choice felt weak and disappointing.,negative
I was disappointed by the way this Asha Bhosle number turned out.,negative
"I really enjoyed Asha Bhosle's song today, it sounded fantastic.",positive
Asha Bhosle appeared in the tribute concert.,neutral
I was disappointed by the way this Asha Bhosle number turned out.,negative
"I really enjoyed Asha Bhosle's song today, it sounded fantastic.",positive
I saw a post about Asha Bhosle this morning.,neutral
I found Asha Bhosle's performance a bit boring today.,negative
The song sounded dated and less impressive this time.,negative
Her singing in In Aankhon Ki Masti is still one of the best ever.,positive
"What a beautiful performance by Asha Bhosle, pure legend.",positive
